Book Name,Author Name,Narrator Name,Book Size,Book Ratings
"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition"," David Thomas, Andrew Hunt", Anna Katarina, 9 hrs and 55 mins,5 out of 5 stars
Someone Else’s Shoes, Jojo Moyes, Daisy Ridley, 12 hrs and 21 mins,4 out of 5 stars
"30 Minute Guided Meditation - Meditation for Sleep, Relaxation & Stress Relief", Benjamin Bonetti, Benjamin P Bonetti, 29 mins,4.5 out of 5 stars
World Without End, Ken Follett, John Lee, 45 hrs and 34 mins,4.5 out of 5 stars
Sochiye Aur Ameer Baniye [Think and Be Rich], Napoleon Hill, Dinesh Verma, 11 hrs and 10 mins,5 out of 5 stars
The Five Dysfunctions of a Team, Patrick Lencioni, Charles Stransky; introduction by Patrick Lencioni, 3 hrs and 42 mins,4.5 out of 5 stars
Option Volatility and Pricing, Sheldon Natenberg, Douglas Martin, 14 hrs and 27 mins,5 out of 5 stars
Valmiki Ramayan (Hindi Edition), Valmiki, Ashwini Walia, 7 hrs and 17 mins,5 out of 5 stars
The Story of World War II," Donald L. Miller, Henry Steele Commager", Michael Kramer, 24 hrs and 52 mins,4.5 out of 5 stars
The Last Don, Mario Puzo, Joe Barrett, 18 hrs and 52 mins,4.5 out of 5 stars
A Short History of Nearly Everything, Bill Bryson, Bill Bryson, 5 hrs and 48 mins,4.5 out of 5 stars
Your Soul's Gift: The Healing Power of the Life You Planned Before You Were Born, Robert Schwartz, Scott R. Smith, 19 hrs and 18 mins,5 out of 5 stars
Breasts and Eggs, Mieko Kawakami," Emily Woo Zeller, Jeena Yi", 15 hrs and 22 mins,4.5 out of 5 stars
Lighter, Yung Pueblo, Yung Pueblo, 7 hrs and 26 mins,5 out of 5 stars
Scythe, Neal Shusterman, Greg Tremblay, 10 hrs and 32 mins,4.5 out of 5 stars
